Rodzaj_obiektu,Miesiac,Turyści_Ogółem,Turyści_Zagraniczni,Rok,Turyści_Krajowi
O G Ó Ł E M                       2017           ,I,1847429.0,345765.0,2018,1501664.0
T O T A L                            2018            ,I,2019667.0,387086.0,2018,1632581.0
"Obiekty hotelowe 
Hotels and similar establishments",I,1608057.0,348400.0,2018,1259657.0
"Hotele 
Hotels",I,1401824.0,319110.0,2018,1082714.0
"Motele  
Motels",I,14901.0,0.0,2018,14901.0
"Pensjonaty 
Boarding house",I,40186.0,0.0,2018,40186.0
"Inne obiekty hotelowe 
Other hotel facilities",I,151146.0,23741.0,2018,127405.0
"Pozostałe obiekty noclegowe
Other facilities ",I,411610.0,0.0,2018,411610.0
"Domy wycieczkowe 
Excursion hostels",I,6268.0,180.0,2018,6088.0
"Schroniska 
Shelters",I,11875.0,217.0,2018,11658.0
"Schroniska młodzieżowe 
Youth hostels",I,3818.0,584.0,2018,3234.0
"Szkolne schroniska młodzieżowe
School youth hostels",I,16576.0,0.0,2018,16576.0
"Ośrodki wczasowe 
Holiday centres",I,77939.0,4630.0,2018,73309.0
"Ośrodki kolonijne 
Holiday youth centers",I,6133.0,3.0,2018,6130.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",I,53787.0,1765.0,2018,52022.0
"Domy pracy twórczej 
Creative arts centres",I,2156.0,40.0,2018,2116.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",I,4446.0,0.0,2018,4446.0
"Kempingi 
Camping sites",I,588.0,102.0,2018,486.0
"Pola biwakowe  
Tent camp sites",I,59.0,0.0,2018,59.0
"Hostele 
Hostels",I,43880.0,14937.0,2018,28943.0
"Zakłady uzdrowiskowe 
Health establishments",I,69997.0,1681.0,2018,68316.0
"Pokoje gościnne 
Rooms for guests",I,52311.0,5333.0,2018,46978.0
"Kwatery agroturystyczne 
Agrotourism lodgings",I,7225.0,349.0,2018,6876.0
"Pozostałe niesklasyfikowane 
Other not classified",I,54552.0,6773.0,2018,47779.0
O G Ó Ł E M                       2017           ,II,1907901.0,340714.0,2018,1567187.0
T O T A L                            2018            ,II,2045505.0,386204.0,2018,1659301.0
"Obiekty hotelowe 
Hotels and similar establishments",II,1623218.0,346422.0,2018,1276796.0
"Hotele 
Hotels",II,1416585.0,317257.0,2018,1099328.0
"Motele  
Motels",II,14976.0,0.0,2018,14976.0
"Pensjonaty 
Boarding house",II,38123.0,0.0,2018,38123.0
"Inne obiekty hotelowe 
Other hotel facilities",II,153534.0,24438.0,2018,129096.0
"Pozostałe obiekty noclegowe
Other facilities ",II,422287.0,0.0,2018,422287.0
"Domy wycieczkowe 
Excursion hostels",II,6684.0,230.0,2018,6454.0
"Schroniska 
Shelters",II,12478.0,317.0,2018,12161.0
"Schroniska młodzieżowe 
Youth hostels",II,4910.0,803.0,2018,4107.0
"Szkolne schroniska młodzieżowe
School youth hostels",II,18522.0,0.0,2018,18522.0
"Ośrodki wczasowe 
Holiday centres",II,85540.0,5821.0,2018,79719.0
"Ośrodki kolonijne 
Holiday youth centers",II,4510.0,52.0,2018,4458.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",II,61324.0,1986.0,2018,59338.0
"Domy pracy twórczej 
Creative arts centres",II,1904.0,45.0,2018,1859.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",II,4630.0,0.0,2018,4630.0
"Kempingi 
Camping sites",II,530.0,74.0,2018,456.0
"Pola biwakowe  
Tent camp sites",II,24.0,0.0,2018,24.0
"Hostele 
Hostels",II,44980.0,14359.0,2018,30621.0
"Zakłady uzdrowiskowe 
Health establishments",II,57362.0,2126.0,2018,55236.0
"Pokoje gościnne 
Rooms for guests",II,53371.0,4780.0,2018,48591.0
"Kwatery agroturystyczne 
Agrotourism lodgings",II,6874.0,329.0,2018,6545.0
"Pozostałe niesklasyfikowane 
Other not classified",II,58644.0,6759.0,2018,51885.0
O G Ó Ł E M                       2017           ,III,2107293.0,449138.0,2018,1658155.0
T O T A L                            2018            ,III,2205113.0,502989.0,2018,1702124.0
"Obiekty hotelowe 
Hotels and similar establishments",III,1817283.0,455348.0,2018,1361935.0
"Hotele 
Hotels",III,1607518.0,419541.0,2018,1187977.0
"Motele  
Motels",III,17186.0,0.0,2018,17186.0
"Pensjonaty 
Boarding house",III,34707.0,0.0,2018,34707.0
"Inne obiekty hotelowe 
Other hotel facilities",III,157872.0,30354.0,2018,127518.0
"Pozostałe obiekty noclegowe
Other facilities ",III,387830.0,0.0,2018,387830.0
"Domy wycieczkowe 
Excursion hostels",III,5834.0,260.0,2018,5574.0
"Schroniska 
Shelters",III,10370.0,248.0,2018,10122.0
"Schroniska młodzieżowe 
Youth hostels",III,5973.0,746.0,2018,5227.0
"Szkolne schroniska młodzieżowe
School youth hostels",III,19235.0,0.0,2018,19235.0
"Ośrodki wczasowe 
Holiday centres",III,60849.0,6492.0,2018,54357.0
"Ośrodki kolonijne 
Holiday youth centers",III,4379.0,83.0,2018,4296.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",III,51787.0,2018.0,2018,49769.0
"Domy pracy twórczej 
Creative arts centres",III,2563.0,107.0,2018,2456.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",III,4756.0,0.0,2018,4756.0
"Kempingi 
Camping sites",III,999.0,246.0,2018,753.0
"Pola biwakowe  
Tent camp sites",III,127.0,0.0,2018,127.0
"Hostele 
Hostels",III,52043.0,17665.0,2018,34378.0
"Zakłady uzdrowiskowe 
Health establishments",III,66381.0,3010.0,2018,63371.0
"Pokoje gościnne 
Rooms for guests",III,37743.0,4823.0,2018,32920.0
"Kwatery agroturystyczne 
Agrotourism lodgings",III,5057.0,373.0,2018,4684.0
"Pozostałe niesklasyfikowane 
Other not classified",III,59734.0,7963.0,2018,51771.0
O G Ó Ł E M                       2017           ,IV,2285368.0,518750.0,2018,1766618.0
T O T A L                            2018            ,IV,2467756.0,537516.0,2018,1930240.0
"Obiekty hotelowe 
Hotels and similar establishments",IV,1993816.0,485346.0,2018,1508470.0
"Hotele 
Hotels",IV,1749746.0,444505.0,2018,1305241.0
"Motele  
Motels",IV,17993.0,0.0,2018,17993.0
"Pensjonaty 
Boarding house",IV,38595.0,0.0,2018,38595.0
"Inne obiekty hotelowe 
Other hotel facilities",IV,187482.0,34311.0,2018,153171.0
"Pozostałe obiekty noclegowe
Other facilities ",IV,473940.0,0.0,2018,473940.0
"Domy wycieczkowe 
Excursion hostels",IV,6534.0,541.0,2018,5993.0
"Schroniska 
Shelters",IV,14204.0,245.0,2018,13959.0
"Schroniska młodzieżowe 
Youth hostels",IV,6969.0,1073.0,2018,5896.0
"Szkolne schroniska młodzieżowe
School youth hostels",IV,27226.0,0.0,2018,27226.0
"Ośrodki wczasowe 
Holiday centres",IV,76287.0,6365.0,2018,69922.0
"Ośrodki kolonijne 
Holiday youth centers",IV,4918.0,13.0,2018,4905.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",IV,71672.0,3478.0,2018,68194.0
"Domy pracy twórczej 
Creative arts centres",IV,3196.0,154.0,2018,3042.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",IV,10061.0,0.0,2018,10061.0
"Kempingi 
Camping sites",IV,3137.0,930.0,2018,2207.0
"Pola biwakowe  
Tent camp sites",IV,585.0,0.0,2018,585.0
"Hostele 
Hostels",IV,58423.0,18454.0,2018,39969.0
"Zakłady uzdrowiskowe 
Health establishments",IV,67049.0,3244.0,2018,63805.0
"Pokoje gościnne 
Rooms for guests",IV,42869.0,5562.0,2018,37307.0
"Kwatery agroturystyczne 
Agrotourism lodgings",IV,7407.0,372.0,2018,7035.0
"Pozostałe niesklasyfikowane 
Other not classified",IV,73403.0,7366.0,2018,66037.0
O G Ó Ł E M                       2017           ,V,2847226.0,609705.0,2018,2237521.0
T O T A L                            2018            ,V,3012555.0,634551.0,2018,2378004.0
"Obiekty hotelowe 
Hotels and similar establishments",V,2248920.0,567451.0,2018,1681469.0
"Hotele 
Hotels",V,1933087.0,519218.0,2018,1413869.0
"Motele  
Motels",V,20939.0,0.0,2018,20939.0
"Pensjonaty 
Boarding house",V,55726.0,0.0,2018,55726.0
"Inne obiekty hotelowe 
Other hotel facilities",V,239168.0,40438.0,2018,198730.0
"Pozostałe obiekty noclegowe
Other facilities ",V,763635.0,0.0,2018,763635.0
"Domy wycieczkowe 
Excursion hostels",V,12507.0,465.0,2018,12042.0
"Schroniska 
Shelters",V,19776.0,594.0,2018,19182.0
"Schroniska młodzieżowe 
Youth hostels",V,10347.0,892.0,2018,9455.0
"Szkolne schroniska młodzieżowe
School youth hostels",V,45856.0,0.0,2018,45856.0
"Ośrodki wczasowe 
Holiday centres",V,174237.0,8585.0,2018,165652.0
"Ośrodki kolonijne 
Holiday youth centers",V,10250.0,63.0,2018,10187.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",V,122244.0,3899.0,2018,118345.0
"Domy pracy twórczej 
Creative arts centres",V,4583.0,163.0,2018,4420.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",V,32349.0,0.0,2018,32349.0
"Kempingi 
Camping sites",V,19609.0,8414.0,2018,11195.0
"Pola biwakowe  
Tent camp sites",V,5155.0,0.0,2018,5155.0
"Hostele 
Hostels",V,62966.0,16838.0,2018,46128.0
"Zakłady uzdrowiskowe 
Health establishments",V,76328.0,5342.0,2018,70986.0
"Pokoje gościnne 
Rooms for guests",V,60687.0,6631.0,2018,54056.0
"Kwatery agroturystyczne 
Agrotourism lodgings",V,14325.0,580.0,2018,13745.0
"Pozostałe niesklasyfikowane 
Other not classified",V,92416.0,8474.0,2018,83942.0
O G Ó Ł E M                       2017           ,VI,3250518.0,672919.0,2018,2577599.0
T O T A L                            2018            ,VI,3389729.0,685380.0,2018,2704349.0
"Obiekty hotelowe 
Hotels and similar establishments",VI,2451549.0,601122.0,2018,1850427.0
"Hotele 
Hotels",VI,2104405.0,550449.0,2018,1553956.0
"Motele  
Motels",VI,22217.0,0.0,2018,22217.0
"Pensjonaty 
Boarding house",VI,58723.0,0.0,2018,58723.0
"Inne obiekty hotelowe 
Other hotel facilities",VI,266204.0,42590.0,2018,223614.0
"Pozostałe obiekty noclegowe
Other facilities ",VI,938180.0,0.0,2018,938180.0
"Domy wycieczkowe 
Excursion hostels",VI,13072.0,524.0,2018,12548.0
"Schroniska 
Shelters",VI,18672.0,502.0,2018,18170.0
"Schroniska młodzieżowe 
Youth hostels",VI,10502.0,1064.0,2018,9438.0
"Szkolne schroniska młodzieżowe
School youth hostels",VI,44471.0,0.0,2018,44471.0
"Ośrodki wczasowe 
Holiday centres",VI,240117.0,10556.0,2018,229561.0
"Ośrodki kolonijne 
Holiday youth centers",VI,20139.0,193.0,2018,19946.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",VI,141937.0,3767.0,2018,138170.0
"Domy pracy twórczej 
Creative arts centres",VI,5906.0,284.0,2018,5622.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",VI,55805.0,0.0,2018,55805.0
"Kempingi 
Camping sites",VI,35486.0,15263.0,2018,20223.0
"Pola biwakowe  
Tent camp sites",VI,10535.0,0.0,2018,10535.0
"Hostele 
Hostels",VI,66174.0,20056.0,2018,46118.0
"Zakłady uzdrowiskowe 
Health establishments",VI,79004.0,4470.0,2018,74534.0
"Pokoje gościnne 
Rooms for guests",VI,77610.0,7983.0,2018,69627.0
"Kwatery agroturystyczne 
Agrotourism lodgings",VI,17387.0,810.0,2018,16577.0
"Pozostałe niesklasyfikowane 
Other not classified",VI,101363.0,10034.0,2018,91329.0
O G Ó Ł E M                       2017           ,VII,3755086.0,813694.0,2018,2941392.0
T O T A L                            2018            ,VII,3926772.0,820850.0,2018,3105922.0
"Obiekty hotelowe 
Hotels and similar establishments",VII,2516269.0,686936.0,2018,1829333.0
"Hotele 
Hotels",VII,2105230.0,621219.0,2018,1484011.0
"Motele  
Motels",VII,23286.0,0.0,2018,23286.0
"Pensjonaty 
Boarding house",VII,87210.0,0.0,2018,87210.0
"Inne obiekty hotelowe 
Other hotel facilities",VII,300543.0,53848.0,2018,246695.0
"Pozostałe obiekty noclegowe
Other facilities ",VII,1410503.0,0.0,2018,1410503.0
"Domy wycieczkowe 
Excursion hostels",VII,12139.0,480.0,2018,11659.0
"Schroniska 
Shelters",VII,20957.0,984.0,2018,19973.0
"Schroniska młodzieżowe 
Youth hostels",VII,8500.0,999.0,2018,7501.0
"Szkolne schroniska młodzieżowe
School youth hostels",VII,39733.0,0.0,2018,39733.0
"Ośrodki wczasowe 
Holiday centres",VII,359790.0,13885.0,2018,345905.0
"Ośrodki kolonijne 
Holiday youth centers",VII,34059.0,248.0,2018,33811.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",VII,149773.0,6136.0,2018,143637.0
"Domy pracy twórczej 
Creative arts centres",VII,6267.0,433.0,2018,5834.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",VII,106569.0,0.0,2018,106569.0
"Kempingi 
Camping sites",VII,119228.0,35406.0,2018,83822.0
"Pola biwakowe  
Tent camp sites",VII,45491.0,0.0,2018,45491.0
"Hostele 
Hostels",VII,74557.0,26578.0,2018,47979.0
"Zakłady uzdrowiskowe 
Health establishments",VII,89516.0,6055.0,2018,83461.0
"Pokoje gościnne 
Rooms for guests",VII,181360.0,12709.0,2018,168651.0
"Kwatery agroturystyczne 
Agrotourism lodgings",VII,26983.0,1115.0,2018,25868.0
"Pozostałe niesklasyfikowane 
Other not classified",VII,135581.0,15703.0,2018,119878.0
O G Ó Ł E M                       2017           ,VIII,3803479.0,818362.0,2018,2985117.0
T O T A L                            2018            ,VIII,4067560.0,830445.0,2018,3237115.0
"Obiekty hotelowe 
Hotels and similar establishments",VIII,2651675.0,705440.0,2018,1946235.0
"Hotele 
Hotels",VIII,2230013.0,642430.0,2018,1587583.0
"Motele  
Motels",VIII,21930.0,0.0,2018,21930.0
"Pensjonaty 
Boarding house",VIII,88558.0,0.0,2018,88558.0
"Inne obiekty hotelowe 
Other hotel facilities",VIII,311174.0,51219.0,2018,259955.0
"Pozostałe obiekty noclegowe
Other facilities ",VIII,1415885.0,0.0,2018,1415885.0
"Domy wycieczkowe 
Excursion hostels",VIII,14091.0,539.0,2018,13552.0
"Schroniska 
Shelters",VIII,23740.0,828.0,2018,22912.0
"Schroniska młodzieżowe 
Youth hostels",VIII,8067.0,1272.0,2018,6795.0
"Szkolne schroniska młodzieżowe
School youth hostels",VIII,36067.0,0.0,2018,36067.0
"Ośrodki wczasowe 
Holiday centres",VIII,355722.0,13548.0,2018,342174.0
"Ośrodki kolonijne 
Holiday youth centers",VIII,34232.0,198.0,2018,34034.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",VIII,146532.0,4496.0,2018,142036.0
"Domy pracy twórczej 
Creative arts centres",VIII,5355.0,273.0,2018,5082.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",VIII,108819.0,0.0,2018,108819.0
"Kempingi 
Camping sites",VIII,106477.0,29001.0,2018,77476.0
"Pola biwakowe  
Tent camp sites",VIII,56744.0,0.0,2018,56744.0
"Hostele 
Hostels",VIII,80210.0,27319.0,2018,52891.0
"Zakłady uzdrowiskowe 
Health establishments",VIII,89859.0,5382.0,2018,84477.0
"Pokoje gościnne 
Rooms for guests",VIII,182849.0,12762.0,2018,170087.0
"Kwatery agroturystyczne 
Agrotourism lodgings",VIII,27904.0,1080.0,2018,26824.0
"Pozostałe niesklasyfikowane 
Other not classified",VIII,139217.0,13632.0,2018,125585.0
O G Ó Ł E M                       2017           ,IX,3123243.0,691575.0,2018,2431668.0
T O T A L                            2018            ,IX,3267168.0,688886.0,2018,2578282.0
"Obiekty hotelowe 
Hotels and similar establishments",IX,2474166.0,605115.0,2018,1869051.0
"Hotele 
Hotels",IX,2135492.0,554971.0,2018,1580521.0
"Motele  
Motels",IX,20949.0,0.0,2018,20949.0
"Pensjonaty 
Boarding house",IX,63664.0,0.0,2018,63664.0
"Inne obiekty hotelowe 
Other hotel facilities",IX,254061.0,41064.0,2018,212997.0
"Pozostałe obiekty noclegowe
Other facilities ",IX,793002.0,0.0,2018,793002.0
"Domy wycieczkowe 
Excursion hostels",IX,6992.0,554.0,2018,6438.0
"Schroniska 
Shelters",IX,21207.0,493.0,2018,20714.0
"Schroniska młodzieżowe 
Youth hostels",IX,7599.0,1399.0,2018,6200.0
"Szkolne schroniska młodzieżowe
School youth hostels",IX,27708.0,0.0,2018,27708.0
"Ośrodki wczasowe 
Holiday centres",IX,184569.0,13085.0,2018,171484.0
"Ośrodki kolonijne 
Holiday youth centers",IX,8415.0,34.0,2018,8381.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",IX,112566.0,3949.0,2018,108617.0
"Domy pracy twórczej 
Creative arts centres",IX,4870.0,315.0,2018,4555.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",IX,35539.0,0.0,2018,35539.0
"Kempingi 
Camping sites",IX,18335.0,8106.0,2018,10229.0
"Pola biwakowe  
Tent camp sites",IX,4999.0,0.0,2018,4999.0
"Hostele 
Hostels",IX,71250.0,22289.0,2018,48961.0
"Zakłady uzdrowiskowe 
Health establishments",IX,82274.0,7078.0,2018,75196.0
"Pokoje gościnne 
Rooms for guests",IX,79513.0,8709.0,2018,70804.0
"Kwatery agroturystyczne 
Agrotourism lodgings",IX,15805.0,554.0,2018,15251.0
"Pozostałe niesklasyfikowane 
Other not classified",IX,111361.0,10732.0,2018,100629.0
O G Ó Ł E M                       2017           ,X,2671256.0,599323.0,2018,2071933.0
T O T A L                            2018            ,X,2863790.0,628713.0,2018,2235077.0
"Obiekty hotelowe 
Hotels and similar establishments",X,2317452.0,564905.0,2018,1752547.0
"Hotele 
Hotels",X,2022345.0,517338.0,2018,1505007.0
"Motele  
Motels",X,20509.0,0.0,2018,20509.0
"Pensjonaty 
Boarding house",X,45831.0,0.0,2018,45831.0
"Inne obiekty hotelowe 
Other hotel facilities",X,228767.0,40028.0,2018,188739.0
"Pozostałe obiekty noclegowe
Other facilities ",X,546338.0,0.0,2018,546338.0
"Domy wycieczkowe 
Excursion hostels",X,7248.0,755.0,2018,6493.0
"Schroniska 
Shelters",X,14863.0,587.0,2018,14276.0
"Schroniska młodzieżowe 
Youth hostels",X,8320.0,1646.0,2018,6674.0
"Szkolne schroniska młodzieżowe
School youth hostels",X,27010.0,0.0,2018,27010.0
"Ośrodki wczasowe 
Holiday centres",X,87586.0,9293.0,2018,78293.0
"Ośrodki kolonijne 
Holiday youth centers",X,5784.0,201.0,2018,5583.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",X,85907.0,2738.0,2018,83169.0
"Domy pracy twórczej 
Creative arts centres",X,3347.0,104.0,2018,3243.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",X,10378.0,0.0,2018,10378.0
"Kempingi 
Camping sites",X,3098.0,1162.0,2018,1936.0
"Pola biwakowe  
Tent camp sites",X,550.0,0.0,2018,550.0
"Hostele 
Hostels",X,67915.0,21345.0,2018,46570.0
"Zakłady uzdrowiskowe 
Health establishments",X,77429.0,4293.0,2018,73136.0
"Pokoje gościnne 
Rooms for guests",X,54346.0,7726.0,2018,46620.0
"Kwatery agroturystyczne 
Agrotourism lodgings",X,8878.0,521.0,2018,8357.0
"Pozostałe niesklasyfikowane 
Other not classified",X,83679.0,8508.0,2018,75171.0
O G Ó Ł E M                       2017           ,XI,2273641.0,479787.0,2018,1793854.0
T O T A L                            2018            ,XI,2436125.0,501565.0,2018,1934560.0
"Obiekty hotelowe 
Hotels and similar establishments",XI,2023192.0,453488.0,2018,1569704.0
"Hotele 
Hotels",XI,1785950.0,417018.0,2018,1368932.0
"Motele  
Motels",XI,18615.0,0.0,2018,18615.0
"Pensjonaty 
Boarding house",XI,32527.0,0.0,2018,32527.0
"Inne obiekty hotelowe 
Other hotel facilities",XI,186100.0,30616.0,2018,155484.0
"Pozostałe obiekty noclegowe
Other facilities ",XI,412933.0,0.0,2018,412933.0
"Domy wycieczkowe 
Excursion hostels",XI,6154.0,560.0,2018,5594.0
"Schroniska 
Shelters",XI,9907.0,149.0,2018,9758.0
"Schroniska młodzieżowe 
Youth hostels",XI,5354.0,1249.0,2018,4105.0
"Szkolne schroniska młodzieżowe
School youth hostels",XI,20542.0,0.0,2018,20542.0
"Ośrodki wczasowe 
Holiday centres",XI,56966.0,5177.0,2018,51789.0
"Ośrodki kolonijne 
Holiday youth centers",XI,3290.0,266.0,2018,3024.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",XI,61147.0,2984.0,2018,58163.0
"Domy pracy twórczej 
Creative arts centres",XI,2724.0,130.0,2018,2594.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",XI,5965.0,0.0,2018,5965.0
"Kempingi 
Camping sites",XI,1135.0,260.0,2018,875.0
"Pola biwakowe  
Tent camp sites",XI,131.0,0.0,2018,131.0
"Hostele 
Hostels",XI,58198.0,18786.0,2018,39412.0
"Zakłady uzdrowiskowe 
Health establishments",XI,65957.0,2226.0,2018,63731.0
"Pokoje gościnne 
Rooms for guests",XI,42212.0,4376.0,2018,37836.0
"Kwatery agroturystyczne 
Agrotourism lodgings",XI,6744.0,519.0,2018,6225.0
"Pozostałe niesklasyfikowane 
Other not classified",XI,66507.0,7621.0,2018,58886.0
O G Ó Ł E M                       2017           ,XII,2116904.0,463935.0,2018,1652969.0
T O T A L                            2018            ,XII,2194190.0,478046.0,2018,1716144.0
"Obiekty hotelowe 
Hotels and similar establishments",XII,1808661.0,431223.0,2018,1377438.0
"Hotele 
Hotels",XII,1584259.0,395065.0,2018,1189194.0
"Motele  
Motels",XII,16345.0,0.0,2018,16345.0
"Pensjonaty 
Boarding house",XII,35294.0,0.0,2018,35294.0
"Inne obiekty hotelowe 
Other hotel facilities",XII,172763.0,30185.0,2018,142578.0
"Pozostałe obiekty noclegowe
Other facilities ",XII,385529.0,0.0,2018,385529.0
"Domy wycieczkowe 
Excursion hostels",XII,6503.0,286.0,2018,6217.0
"Schroniska 
Shelters",XII,10549.0,100.0,2018,10449.0
"Schroniska młodzieżowe 
Youth hostels",XII,4550.0,953.0,2018,3597.0
"Szkolne schroniska młodzieżowe
School youth hostels",XII,15407.0,0.0,2018,15407.0
"Ośrodki wczasowe 
Holiday centres",XII,61113.0,5782.0,2018,55331.0
"Ośrodki kolonijne 
Holiday youth centers",XII,1714.0,107.0,2018,1607.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",XII,54553.0,2206.0,2018,52347.0
"Domy pracy twórczej 
Creative arts centres",XII,2182.0,79.0,2018,2103.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",XII,5283.0,0.0,2018,5283.0
"Kempingi 
Camping sites",XII,910.0,126.0,2018,784.0
"Pola biwakowe  
Tent camp sites",XII,125.0,0.0,2018,125.0
"Hostele 
Hostels",XII,55722.0,18445.0,2018,37277.0
"Zakłady uzdrowiskowe 
Health establishments",XII,53153.0,3336.0,2018,49817.0
"Pokoje gościnne 
Rooms for guests",XII,49179.0,5973.0,2018,43206.0
"Kwatery agroturystyczne 
Agrotourism lodgings",XII,8482.0,512.0,2018,7970.0
"Pozostałe niesklasyfikowane 
Other not classified",XII,56104.0,6474.0,2018,49630.0
O G Ó Ł E M                       2021           ,I,213149.0,0.0,2022,213149.0
T O T A L                            2022         ,I,1733979.0,0.0,2022,1733979.0
"Obiekty hotelowe 
Hotels and similar establishments",I,1414547.0,179821.0,2022,1234726.0
"Hotele 
Hotels",I,1230617.0,165307.0,2022,1065310.0
"Motele  
Motels",I,8592.0,0.0,2022,8592.0
"Pensjonaty 
Boarding house",I,35357.0,0.0,2022,35357.0
"Inne obiekty hotelowe 
Other hotel establishments",I,139981.0,11668.0,2022,128313.0
"Pozostałe obiekty noclegowe
Other establishments ",I,319432.0,0.0,2022,319432.0
"Domy wycieczkowe 
Excursion hostels",I,3242.0,67.0,2022,3175.0
"Schroniska 
Shelters",I,12495.0,67.0,2022,12428.0
"Schroniska młodzieżowe 
Youth shelters",I,1808.0,232.0,2022,1576.0
"Szkolne schroniska młodzieżowe
School youth shelters",I,9214.0,0.0,2022,9214.0
"Ośrodki wczasowe 
Holiday centres",I,69971.0,2041.0,2022,67930.0
"Ośrodki kolonijne 
Holiday youth centres",I,1996.0,11.0,2022,1985.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",I,38555.0,1123.0,2022,37432.0
"Domy pracy twórczej 
Creative arts centres",I,1497.0,21.0,2022,1476.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",I,5060.0,0.0,2022,5060.0
"Kempingi 
Camping sites",I,550.0,53.0,2022,497.0
"Pola biwakowe  
Tent camp sites",I,50.0,0.0,2022,50.0
"Hostele 
Hostels",I,33128.0,9953.0,2022,23175.0
"Zakłady uzdrowiskowe 
Health establishments",I,57382.0,902.0,2022,56480.0
"Pokoje gościnne 
Rooms for guests",I,49626.0,2597.0,2022,47029.0
"Kwatery agroturystyczne 
Agrotourism lodgings",I,5943.0,282.0,2022,5661.0
"Pozostałe niesklasyfikowane 
Other not classified",I,28915.0,2226.0,2022,26689.0
O G Ó Ł E M                       2021           ,II,697443.0,0.0,2022,697443.0
T O T A L                            2022         ,II,1976996.0,0.0,2022,1976996.0
"Obiekty hotelowe 
Hotels and similar establishments",II,1636606.0,246891.0,2022,1389715.0
"Hotele 
Hotels",II,1429564.0,225676.0,2022,1203888.0
"Motele  
Motels",II,11095.0,0.0,2022,11095.0
"Pensjonaty 
Boarding house",II,40589.0,0.0,2022,40589.0
"Inne obiekty hotelowe 
Other hotel establishments",II,155358.0,17375.0,2022,137983.0
"Pozostałe obiekty noclegowe
Other establishments ",II,340390.0,0.0,2022,340390.0
"Domy wycieczkowe 
Excursion hostels",II,3819.0,176.0,2022,3643.0
"Schroniska 
Shelters",II,11900.0,110.0,2022,11790.0
"Schroniska młodzieżowe 
Youth shelters",II,2614.0,399.0,2022,2215.0
"Szkolne schroniska młodzieżowe
School youth shelters",II,11880.0,0.0,2022,11880.0
"Ośrodki wczasowe 
Holiday centres",II,78747.0,2811.0,2022,75936.0
"Ośrodki kolonijne 
Holiday youth centres",II,2172.0,10.0,2022,2162.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",II,45499.0,1956.0,2022,43543.0
"Domy pracy twórczej 
Creative arts centres",II,1124.0,29.0,2022,1095.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",II,4041.0,0.0,2022,4041.0
"Kempingi 
Camping sites",II,943.0,47.0,2022,896.0
"Pola biwakowe  
Tent camp sites",II,28.0,0.0,2022,28.0
"Hostele 
Hostels",II,36436.0,10714.0,2022,25722.0
"Zakłady uzdrowiskowe 
Health establishments",II,48518.0,1194.0,2022,47324.0
"Pokoje gościnne 
Rooms for guests",II,54342.0,3372.0,2022,50970.0
"Kwatery agroturystyczne 
Agrotourism lodgings",II,6162.0,273.0,2022,5889.0
"Pozostałe niesklasyfikowane 
Other not classified",II,32165.0,2693.0,2022,29472.0
O G Ó Ł E M                       2021           ,III,651958.0,0.0,2022,651958.0
T O T A L                            2022         ,III,2233197.0,0.0,2022,2233197.0
"Obiekty hotelowe 
Hotels and similar establishments",III,1934447.0,423233.0,2022,1511214.0
"Hotele 
Hotels",III,1721122.0,391407.0,2022,1329715.0
"Motele  
Motels",III,14558.0,0.0,2022,14558.0
"Pensjonaty 
Boarding house",III,28849.0,0.0,2022,28849.0
"Inne obiekty hotelowe 
Other hotel establishments",III,169918.0,27607.0,2022,142311.0
"Pozostałe obiekty noclegowe
Other establishments ",III,298750.0,0.0,2022,298750.0
"Domy wycieczkowe 
Excursion hostels",III,2339.0,249.0,2022,2090.0
