Rodzaj_obiektu,Miesiac,Turyści_Ogółem,Turyści_Zagraniczni,Rok,Turyści_Krajowi
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",I,40694.0,2562.0,2023,38132.0
"Domy pracy twórczej 
Creative arts centres",I,1876.0,82.0,2023,1794.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",I,5085.0,0.0,2023,5085.0
"Kempingi 
Camping sites",I,703.0,145.0,2023,558.0
"Pola biwakowe  
Tent camp sites",I,39.0,0.0,2023,39.0
"Hostele 
Hostels",I,46800.0,16185.0,2023,30615.0
"Zakłady uzdrowiskowe 
Health establishments",I,68155.0,1595.0,2023,66560.0
"Pokoje gościnne 
Rooms for guests",I,60928.0,5302.0,2023,55626.0
"Kwatery agroturystyczne 
Agrotourism lodgings",I,5264.0,308.0,2023,4956.0
"Pozostałe niesklasyfikowane 
Other not classified",I,30818.0,4356.0,2023,26462.0
O G Ó Ł E M                       2022       ,II,1976996.0,271862.0,2023,1705134.0
T O T A L                            2023,II,2303247.0,430182.0,2023,1873065.0
"Obiekty hotelowe 
Hotels and similar establishments",II,1934303.0,391864.0,2023,1542439.0
"Hotele 
Hotels",II,1712292.0,361222.0,2023,1351070.0
"Motele  
Motels",II,12908.0,0.0,2023,12908.0
"Pensjonaty 
Boarding house",II,38127.0,0.0,2023,38127.0
"Inne obiekty hotelowe 
Other hotel establishments",II,170976.0,25368.0,2023,145608.0
"Pozostałe obiekty noclegowe
Other establishments ",II,368944.0,0.0,2023,368944.0
"Domy wycieczkowe 
Excursion hostels",II,3159.0,119.0,2023,3040.0
"Schroniska 
Shelters",II,10705.0,288.0,2023,10417.0
"Schroniska młodzieżowe 
Youth shelters",II,3343.0,770.0,2023,2573.0
"Szkolne schroniska młodzieżowe
School youth shelters",II,10758.0,0.0,2023,10758.0
"Ośrodki wczasowe 
Holiday centres",II,83253.0,4610.0,2023,78643.0
"Ośrodki kolonijne 
Holiday youth centres",II,1388.0,136.0,2023,1252.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",II,46905.0,2855.0,2023,44050.0
"Domy pracy twórczej 
Creative arts centres",II,1847.0,49.0,2023,1798.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",II,5063.0,0.0,2023,5063.0
"Kempingi 
Camping sites",II,580.0,102.0,2023,478.0
"Pola biwakowe  
Tent camp sites",II,12.0,0.0,2023,12.0
"Hostele 
Hostels",II,45941.0,15911.0,2023,30030.0
"Zakłady uzdrowiskowe 
Health establishments",II,55633.0,1992.0,2023,53641.0
"Pokoje gościnne 
Rooms for guests",II,61533.0,5348.0,2023,56185.0
"Kwatery agroturystyczne 
Agrotourism lodgings",II,5600.0,186.0,2023,5414.0
